"site","plot","mass_soil","plot_no","max(co2_int)","crop","treatment","mol_co2","c_g_hr","resp","hour","mean","two.sd","zscore"
"agronomy_farm","9",5.02,138,2276,"W","F",4.47740605703062e-05,7.46234342838436e-06,1.48652259529569,"72",1.13932402317168,0.803093878184011,0.864652518355901
"agronomy_farm","off-site 1",4.98,154,1527,NA,NA,3.00395388799901e-05,5.00658981333169e-06,1.00533931994612,"72",1.49427299187375,0.932059799529513,1.04914657230027
"agronomy_farm","off-site 2",4.99,155,2350,NA,NA,4.62298077065991e-05,7.70496795109985e-06,1.54408175372742,"72",1.49427299187375,0.932059799529513,0.106878897424421
"agronomy_farm","off-site 3",5.04,156,2972,NA,NA,5.84659525548989e-05,9.74432542581649e-06,1.93339790194772,"72",1.49427299187375,0.932059799529513,0.942267674875848
"allstar_mine_1","1",5.03,55,2552,"W","F",5.02036039435067e-05,8.36726732391779e-06,1.6634726290095,"72",1.3440275640102,0.707073510184876,0.903569601739941
"allstar_mine_1","10",5.06,64,2359,"S","F",4.64068580339861e-05,7.73447633899768e-06,1.52855263616555,"72",1.79534798000429,0.981528846518854,0.543632201508845
"allstar_mine_1","11",5.11,65,2461,"S","C",4.84134284110384e-05,8.06890473517307e-06,1.57904202253876,"72",1.77198678064891,0.615477244475319,0.626976089992186
"allstar_mine_1","12",5.05,66,2823,"S","B",5.55347860237145e-05,9.25579767061909e-06,1.83283122190477,"72",1.80241938484574,0.225616613974489,0.269588631114481
"allstar_mine_1","13",5.11,67,1858,"W","B",3.65510564761111e-05,6.09184274601852e-06,1.19214143757701,"72",1.27122287503317,0.255514438162817,0.618997799300624
"allstar_mine_1","14",5.07,68,1308,"W","F",2.57313142469071e-05,4.28855237448451e-06,0.845868318438759,"72",1.3440275640102,0.707073510184876,1.40907342276529
"allstar_mine_1","15",4.98,69,2767,"W","C",5.44331395421956e-05,9.07218992369927e-06,1.82172488427696,"72",1.52810692501697,0.722088017579848,0.813247006214225
"allstar_mine_1","16",5.04,70,3848,"S","F",7.56988510872312e-05,1.26164751812052e-05,2.50326888515976,"72",1.79534798000429,0.981528846518854,1.44248619419841
"allstar_mine_1","17",4.98,71,2835,"S","B",5.57708531268972e-05,9.2951421878162e-06,1.86649441522414,"72",1.80241938484574,0.225616613974489,0.567999220001091
"allstar_mine_1","18",5.02,72,3383,"S","C",6.65512508389041e-05,1.10918751398174e-05,2.2095368804417,"72",1.77198678064891,0.615477244475319,1.42182380817603
"allstar_mine_1","19",5.04,73,2058,"W","B",4.04855081958217e-05,6.74758469930361e-06,1.33880648795707,"72",1.27122287503317,0.255514438162817,0.529000344636739
"allstar_mine_1","2",5.03,56,2061,"W","C",4.05445249716173e-05,6.75742082860289e-06,1.34342362397672,"72",1.52810692501697,0.722088017579848,0.51152573244254
"allstar_mine_1","20",5.03,74,2819,"W","C",5.54560969893203e-05,9.24268283155339e-06,1.83751149732672,"72",1.52810692501697,0.722088017579848,0.856971905853655
"allstar_mine_1","21",5.07,75,2319,"W","F",4.56199676900439e-05,7.60332794834066e-06,1.4996702067733,"72",1.3440275640102,0.707073510184876,0.440244587079535
"allstar_mine_1","22",5.08,76,2381,"S","C",4.68396477231542e-05,7.80660795385903e-06,1.53673384918485,"72",1.77198678064891,0.615477244475319,0.764456959459518
"allstar_mine_1","23",5,77,2494,"S","B",4.90626129447907e-05,8.17710215746511e-06,1.63542043149302,"72",1.80241938484574,0.225616613974489,1.48037815487823
"allstar_mine_1","24",4.98,78,2639,"S","F",5.19150904415808e-05,8.65251507359681e-06,1.73745282602345,"72",1.79534798000429,0.981528846518854,0.117969337704479
"allstar_mine_1","3",5.07,57,2188,"W","B",4.30429018136335e-05,7.17381696893892e-06,1.41495403726606,"72",1.27122287503317,0.255514438162817,1.1250335853139
"allstar_mine_1","4",5,58,2688,"S","C",5.28790311129099e-05,8.81317185215166e-06,1.76263437043033,"72",1.77198678064891,0.615477244475319,0.0303907587243243
"allstar_mine_1","5",5.08,59,2905,"S","B",5.71479112287959e-05,9.52465187146598e-06,1.87493147076102,"72",1.80241938484574,0.225616613974489,0.64279030376266
"allstar_mine_1","6",5.05,60,2175,"S","F",4.27871624518523e-05,7.13119374197539e-06,1.41211757266839,"72",1.79534798000429,0.981528846518854,0.780884654985092
