"","site","plot","mass_soil","plot_no","max(co2_int)","crop","treatment","mol_co2","c_g_hr","resp","mean","two.sd","zscore"
"26","allstar_mine_1","10",5.06,64,2359,"S","F",9.3171494607264e-05,1.5528582434544e-05,3.06888980919842,3.60453738356146,1.97062489262539,0.543632201508845
"27","allstar_mine_1","11",5.11,65,2461,"S","C",9.72001052261453e-05,1.62000175376909e-05,3.17025783516456,3.55763487923408,1.23569957531986,0.626976089992185
"28","allstar_mine_1","12",5.05,66,2823,"S","B",0.00011149772330492,1.85829538841533e-05,3.67979284834719,3.61873471098164,0.452972642897706,0.269588631114483
"29","allstar_mine_1","13",5.11,67,1858,"W","B",7.33839071557001e-05,1.22306511926167e-05,2.39347381460209,2.55224637615076,0.512998791685708,0.618997799300624
"30","allstar_mine_1","14",5.07,68,1308,"W","F",5.16610067597716e-05,8.61016779329527e-06,1.69825794739552,2.69841704949043,1.41959827775634,1.40907342276529
"31","allstar_mine_1","15",4.98,69,2767,"W","C",0.000109285937082789,1.82143228471315e-05,3.65749454761677,3.06799495064442,1.4497430484658,0.813247006214225
"32","allstar_mine_1","16",5.04,70,3848,"S","F",0.000151981310406423,2.53302184010705e-05,5.02583698433938,3.60453738356146,1.97062489262539,1.44248619419841
"33","allstar_mine_1","17",4.98,71,2835,"S","B",0.000111971677495377,1.86619462492294e-05,3.74737876490551,3.61873471098164,0.452972642897706,0.567999220001089
"34","allstar_mine_1","18",5.02,72,3383,"S","C",0.000133615585526229,2.22692642543715e-05,4.43610841720548,3.55763487923408,1.23569957531986,1.42182380817603
"35","allstar_mine_1","19",5.04,73,2058,"W","B",8.12831436633104e-05,1.35471906105517e-05,2.68793464495074,2.55224637615076,0.512998791685708,0.529000344636741
"36","allstar_mine_1","2",5.03,56,2061,"W","C",8.14016322109246e-05,1.35669387018208e-05,2.69720451328445,3.06799495064442,1.4497430484658,0.511525732442539
"37","allstar_mine_1","20",5.03,74,2819,"W","C",0.000111339738574768,1.85566230957946e-05,3.68918948226533,3.06799495064442,1.4497430484658,0.856971905853655
