site,plot,weight,poxc,,,,,,,,
allstar_mine_1,23,2.53,897.8656,,,,,,,,
allstar_mine_1,23,2.55,854.2941,,,,,,,,
allstar_mine_1,23,2.53,897.8656,,,,,,,,
allstar_mine_1,24,2.53,705.5929,,,,,,,,
allstar_mine_1,24,2.49,829.1566,,,,,,,,
allstar_mine_1,24,2.49,712.7711,,,,,,,,
allstar_mine_1,offsite 1,2.47,739.4939,,,,,,,,
allstar_mine_1,offsite 1,2.52,811.0714,,,,,,,,
allstar_mine_1,offsite 1,2.45,999,,,,,,,,
allstar_mine_1,offsite 2,2.53,803.7747,,,,,,,,
allstar_mine_1,offsite 2,2.51,872.0319,,,,,,,,
allstar_mine_1,offsite 2,2.55,931.4118,,,,,,,,
allstar_mine_1,offsite 3,2.55,842.1176,,,,,,,,
allstar_mine_1,offsite 3,2.49,982.9518,,,,,,,,
allstar_mine_1,offsite 3,2.45,863.8163,,,,,,,,
allstar_mine_2,1,2.53,521.6158,,,,,,,,
allstar_mine_2,1,2.5,303.192,,,,,,,,
allstar_mine_2,1,2.52,619.2143,,,,,,,,
allstar_mine_2,2,2.49,1137.506,,,,,,,,
allstar_mine_2,2,2.53,1146.628,,,,,,,,
allstar_mine_2,2,2.49,1137.506,,,,,,,,
allstar_mine_2,3,2.51,932.6295,,,,,,,,
allstar_mine_2,3,2.51,864.3227,,,,,,,,
allstar_mine_2,3,2.48,897.8226,,,,,,,,
allstar_mine_2,4,2.51,201.2271,,,,,,,,
allstar_mine_2,4,2.46,307.1707,,,,,,,,
allstar_mine_2,4,2.49,295.0843,,,,,,,,
allstar_mine_2,5,2.5,346.032,,,,,,,,
allstar_mine_2,5,2.53,520.0221,,,,,,,,
allstar_mine_2,5,2.52,534.8571,,,,,,,,
allstar_mine_2,7,2.47,989.2931,,,,,,,,
allstar_mine_2,7,2.52,1008.736,,,,,,,,
allstar_mine_2,7,2.54,1043.433,,,,,,,,
allstar_mine_2,8,2.52,815.7143,,,,,,,,
allstar_mine_2,8,2.55,790.4471,,,,,,,,
allstar_mine_2,8,2.46,725.9634,,,,,,,,
allstar_mine_2,9,2.47,1268.045,,,,,,,,
allstar_mine_2,9,2.54,1233.099,,,,,,,,
allstar_mine_2,9,2.47,1268.045,,,,,,,,
allstar_mine_2,10,2.49,1238.805,,,,,,,,
allstar_mine_2,10,2.46,1253.912,,,,,,,,
