site,plot,fraction,percent_n,percent_c,subsample_weight,POM + MAOM,fraction_weight_g,crop,treatment
goshen,23,MAOM,0.0107,0.9871,10.02,10.01,6.47,W,C
goshen,23,POM,0.1099,2.7911,10.02,10.01,3.54,W,C
goshen,24,MAOM,0.2142,2.2495,10.03,10.09,5.81,W,C
goshen,24,POM,0.3658,6.0276,10.03,10.09,4.28,W,C
goshen,3,MAOM,0.266,3.2808,9.98,10.68,6.67,S,C
goshen,3,POM,0.2781,6.8188,9.98,10.68,4.01,S,C
goshen,4,MAOM,0.309,3.4398,NA,10.2,6.04,W,C
goshen,4,POM,0.4272,8.1021,NA,10.2,4.16,W,C
goshen,5,MAOM,0.289,3.8854,9.99,10.77,6.54,W,B
goshen,5,POM,0.4818,11.3782,9.99,10.77,4.23,W,B
goshen,6,MAOM,0.1758,2.1016,9.98,10.84,6.86,W,C
goshen,6,POM,0.2238,6.321,9.98,10.84,3.98,W,C
goshen,7,MAOM,0.2558,3.4254,NA,11.58,6.81,W,B
goshen,7,POM,0.287,7.3128,NA,11.58,4.77,W,B
goshen,8,MAOM,0.2704,3.327,10,10.26,5.53,W,C
goshen,8,POM,0.4852,10.6753,10,10.26,4.73,W,C
goshen,9,MAOM,0.2559,3.3078,9.98,10.55,6.16,W,C
goshen,9,POM,0.3645,8.1237,9.98,10.55,4.39,W,C
jackson_mill,1,MAOM,0.254,2.6433,NA,0,NA,W,B
jackson_mill,1,POM,0.4032,6.6362,NA,0,NA,W,B
jackson_mill,10,MAOM,0.2446,2.2353,10.02,10.68,8.15,W,C
jackson_mill,10,POM,0.365,4.4231,10.02,10.68,2.53,W,C
jackson_mill,11,POM,0.5038,6.3852,10.02,10.58,1.65,W,C
jackson_mill,12,MAOM,0.2258,2.1742,10.02,10.47,8.22,W,B
jackson_mill,12,POM,0.3274,5.3948,10.02,10.47,2.25,W,B
jackson_mill,13,MAOM,0.2897,2.6411,10.01,10.05,8.52,S,B
jackson_mill,13,POM,0.4681,6.7329,10.01,10.05,1.53,S,B
jackson_mill,14,MAOM,0.2708,2.5878,10.02,11.37,9.28,S,C
jackson_mill,14,POM,0.5214,7.5648,10.02,11.37,2.09,S,C
jackson_mill,15,MAOM,0.2248,2.0469,9.99,10.13,7.77,S,C
jackson_mill,15,POM,0.3319,4.3071,9.99,10.13,2.36,S,C
jackson_mill,16,MAOM,0.3077,2.7807,10,10.38,8.04,W,B
jackson_mill,16,POM,0.5998,11.1555,10,10.38,2.34,W,B
jackson_mill,17,MAOM,0.3274,2.8328,9.99,10.56,8.17,W,C
jackson_mill,17,POM,0.4782,6.932,9.99,10.56,2.39,W,C
jackson_mill,18,MAOM,0.2187,1.9535,10,11,8.84,W,C
jackson_mill,18,POM,0.3076,4.2875,10,11,2.16,W,C
jackson_mill,19,MAOM,0.2974,2.7887,10.03,10.55,7.9,W,C
jackson_mill,19,POM,0.3532,6.2886,10.03,10.55,2.65,W,C
jackson_mill,2,MAOM,0.2522,2.4363,10.02,10.52,8.59,W,C
jackson_mill,2,POM,0.428,5.3758,10.02,10.52,1.93,W,C
jackson_mill,20,MAOM,0.3195,3.2383,9.98,11.96,8.78,W,B
jackson_mill,20,POM,0.4654,9.0071,9.98,11.96,3.18,W,B
jackson_mill,21,MAOM,0.4093,3.5809,10.08,10.27,6.92,W,C
jackson_mill,21,POM,0.433,6.4245,10.08,10.27,3.35,W,C
jackson_mill,22,MAOM,0.2087,1.9152,9.99,10.16,7.8,S,C
jackson_mill,22,POM,0.3024,4.0354,9.99,10.16,2.36,S,C
jackson_mill,23,MAOM,0.2701,2.5221,10.02,10.7,7.71,S,C
jackson_mill,23,POM,0.3878,5.1399,10.02,10.7,2.99,S,C
jackson_mill,24,MAOM,0.2993,2.886,10.05,10.49,8.53,S,B
jackson_mill,24,POM,0.5791,9.9321,10.05,10.49,1.96,S,B
jackson_mill,3,MAOM,0.221,1.9739,NA,10.5,8.52,W,C
jackson_mill,3,POM,0.3354,4.731,NA,10.5,1.98,W,C
jackson_mill,4,POM,0.3823,5.4325,9.98,11.11,2.27,S,C
jackson_mill,5,MAOM,0.2319,2.4317,NA,8.2,8.2,S,B
jackson_mill,5,POM,0.375,8.5385,NA,8.2,NA,S,B
jackson_mill,6,MAOM,0.2689,2.469,10.02,10.89,8.31,S,C
jackson_mill,6,POM,0.3843,5.3368,10.02,10.89,2.58,S,C
jackson_mill,7,MAOM,0.253,2.5761,9.98,9.58,7.11,S,B
jackson_mill,7,POM,0.363,6.7024,9.98,9.58,2.47,S,B
jackson_mill,8,MAOM,0.2525,2.0671,9.98,10.1,7.92,S,C
jackson_mill,8,POM,0.2972,3.4193,9.98,10.1,2.18,S,C
jackson_mill,9,MAOM,0.2201,1.9845,10.02,10.79,8.6,S,C
jackson_mill,9,POM,0.2919,3.8048,10.02,10.79,2.19,S,C
reedsville,1,MAOM,0.2542,3.012,10.02,7.82,7.82,S,C
reedsville,1,POM,0.1977,3.2467,10.02,7.82,NA,S,C
reedsville,10,MAOM,0.1777,2.2016,NA,10.09,7.66,W,B
reedsville,10,POM,0.2469,6.9853,NA,10.09,2.43,W,B
reedsville,11,MAOM,0.1375,1.5013,10.01,9.97,8.14,W,C
reedsville,11,POM,0.1893,3.436,10.01,9.97,1.83,W,C
reedsville,12,MAOM,0.2278,2.4163,10,10.17,8.1,W,C
reedsville,12,POM,0.1998,3.9228,10,10.17,2.07,W,C
reedsville,13,MAOM,0.1902,2.0826,10.01,10.3,8.58,W,C
reedsville,13,POM,0.1416,2.5484,10.01,10.3,1.72,W,C
reedsville,14,MAOM,0.215,2.6701,9.98,10.99,6.57,W,B
reedsville,15,MAOM,0.2138,2.3957,10.01,9.89,6.75,W,C
reedsville,15,POM,0.1739,2.866,10.01,9.89,3.14,W,C
reedsville,16,MAOM,0.2952,3.2392,9.98,9.69,6.68,S,C
reedsville,17,MAOM,0.2393,2.6494,10.01,10.62,7.36,S,C
reedsville,17,POM,0.1411,2.447,10.01,10.62,3.26,S,C
reedsville,18,POM,0.1911,5.3337,9.98,10.34,3.28,S,B
reedsville,19,MAOM,0.1618,1.7351,10.01,9.74,6.79,W,C
reedsville,19,POM,0.1427,3.0501,10.01,9.74,2.95,W,C
reedsville,2,MAOM,0.2259,2.4791,10.01,9.92,7.26,S,C
reedsville,2,POM,0.1853,2.9977,10.01,9.92,2.66,S,C
reedsville,20,MAOM,0.1734,1.9631,10.02,9.73,7.89,W,C
reedsville,21,MAOM,0.1435,1.3777,10.02,10.57,8.7,W,B
reedsville,21,POM,0.2034,2.7113,10.02,10.57,1.87,W,B
reedsville,22,MAOM,0.259,2.9476,NA,11.31,8.57,S,B
reedsville,22,POM,0.1885,4.1324,NA,11.31,2.74,S,B
reedsville,23,MAOM,0.2074,2.2933,9.99,10.3,7.79,S,C
reedsville,23,POM,0.2073,4.0551,9.99,10.3,2.51,S,C
reedsville,24,MAOM,0.2073,2.1861,9.98,10.79,7.42,S,C
reedsville,24,POM,0.1544,2.8267,9.98,10.79,3.37,S,C
reedsville,3,MAOM,0.2556,2.8022,NA,7.11,7.11,S,B
reedsville,3,POM,0.2122,4.5311,NA,7.11,NA,S,B
reedsville,4,MAOM,0.2574,2.7452,9.98,9.92,7.16,W,C
reedsville,4,POM,0.2104,3.2802,9.98,9.92,2.76,W,C
reedsville,5,MAOM,0.2311,2.3411,10.07,9.76,7.08,W,B
reedsville,5,POM,0.1781,3.3291,10.07,9.76,2.68,W,B
reedsville,6,MAOM,0.2287,2.3553,9.99,9.82,7.22,W,C
reedsville,6,POM,0.1791,5.7308,9.99,9.82,2.6,W,C
reedsville,7,MAOM,0.2165,2.3457,10.02,9.99,7.05,S,B
reedsville,7,POM,0.1537,3.1434,10.02,9.99,2.94,S,B
reedsville,8,MAOM,0.2172,2.1931,10,9.83,7.04,S,C
reedsville,8,POM,0.1961,3.511,10,9.83,2.79,S,C
reedsville,9,MAOM,0.2341,2.4087,10.01,10.5,7.61,S,C
reedsville,9,POM,0.2449,4.3814,10.01,10.5,2.89,S,C
