"site","plot","subsample_weight","POM...MAOM","fraction","pom_weight","crop","treatment","date","land_type","weight_bc"
"Jackson Mill",6,10.02,10.68,"POM",2.22,"Switchgrass","Control","August 2022","Agriculture",0.778540731794218
"Jackson Mill",7,10.01,10.13,"POM",2.11,"Switchgrass","Biochar","August 2022","Agriculture",0.730044708953989
"Jackson Mill",8,9.99,10.4,"POM",1.89,"Switchgrass","Control","August 2022","Agriculture",0.624453537460917
"Jackson Mill",9,10.01,10.42,"POM",2.1,"Switchgrass","Control","August 2022","Agriculture",0.725503643560662
"Jackson Mill",10,10,10.41,"POM",3.02,"Willow","Control","August 2022","Agriculture",1.06905176614725
"Jackson Mill",11,9.98,10.79,"POM",1.9,"Willow","Control","August 2022","Agriculture",0.629530068970166
"Jackson Mill",12,10.02,10.85,"POM",2.68,"Willow","Biochar","August 2022","Agriculture",0.956945101864549
"Jackson Mill",13,10.02,10.41,"POM",1.37,"Switchgrass","Biochar","August 2022","Agriculture",0.311826542793414
"Jackson Mill",14,9.99,10.57,"POM",1.7,"Switchgrass","Control","August 2022","Agriculture",0.52218667142506
"Jackson Mill",15,10.02,10.58,"POM",2.08,"Switchgrass","Control","August 2022","Agriculture",0.716352307040164
"Jackson Mill",16,10.01,10.49,"POM",1.89,"Willow","Biochar","August 2022","Agriculture",0.624453537460917
"Jackson Mill",17,9.99,10.61,"POM",2.16,"Willow","Control","August 2022","Agriculture",0.752412871435865
"Jackson Mill",18,10.01,10.82,"POM",2.49,"Willow","Control","August 2022","Agriculture",0.887521167197203
"Jackson Mill",19,10.02,10.28,"POM",2.17,"Willow","Control","August 2022","Agriculture",0.756820572791758
"Jackson Mill",20,10.01,10.64,"POM",2.67,"Willow","Biochar","August 2022","Agriculture",0.953423191042607
"Jackson Mill",21,10.02,10.29,"POM",2.68,"Willow","Control","August 2022","Agriculture",0.956945101864549
"Jackson Mill",22,10,10.4,"POM",2.4,"Switchgrass","Control","August 2022","Agriculture",0.852648498216417
"Jackson Mill",23,10.01,10.54,"POM",2.34,"Switchgrass","Control","August 2022","Agriculture",0.828620575175845
"Jackson Mill",24,9.98,10.54,"POM",2.18,"Switchgrass","Biochar","August 2022","Agriculture",0.761206783575156
"Reedsville",1,10.01,11.45,"POM",3.52,"Switchgrass","Control","August 2022","Agriculture",1.21166655037812
"Reedsville",2,10.01,9.22,"POM",2.62,"Switchgrass","Control","August 2022","Agriculture",0.935601171949167
"Reedsville",3,10.01,9.68,"POM",2.23,"Switchgrass","Biochar","August 2022","Agriculture",0.78282247364245
"Reedsville",4,9.98,10.71,"POM",2.87,"Willow","Control","August 2022","Agriculture",1.02133410223882
"Reedsville",5,10.02,8.79,"POM",2.7,"Willow","Biochar","August 2022","Agriculture",0.963947298607093
"Reedsville",6,10,10.25,"POM",2.42,"Willow","Control","August 2022","Agriculture",0.860516476067958
"Reedsville",7,9.99,10.54,"POM",3,"Switchgrass","Biochar","August 2022","Agriculture",1.06283647874029
"Reedsville",8,10.02,10.55,"POM",3.24,"Switchgrass","Control","August 2022","Agriculture",1.13467246309179
"Reedsville",9,9.99,10.21,"POM",3.05,"Switchgrass","Control","August 2022","Agriculture",1.0782933133125
"Reedsville",10,9.99,9.96,"POM",2.3,"Willow","Biochar","August 2022","Agriculture",0.812236083350213
"Reedsville",11,10.01,10.35,"POM",1.83,"Willow","Control","August 2022","Agriculture",0.593383244675037
"Reedsville",12,10.02,10.12,"POM",1.96,"Willow","Control","August 2022","Agriculture",0.659406289985537
"Reedsville",13,10.01,10.14,"POM",1.93,"Willow","Control","August 2022","Agriculture",0.644591319903584
"Reedsville",16,10.02,10.93,"POM",3.39,"Switchgrass","Control","August 2022","Agriculture",1.17675910361607
